description,merchant,amount,category
Insurance premium health policy monthly payment,Health Insurance,2500,Bills & Utilities
LPG gas refill cylinder indane domestic cooking,Indane Gas,975,Bills & Utilities
Broadband wifi router rental monthly charges internet,ACT Router,149,Bills & Utilities
Amazon online shopping electronics gadgets prime delivery,Amazon,3500,Shopping
Flipkart mobile phone smartphone android purchase order,Flipkart,18000,Shopping
Myntra clothing fashion apparel trendy western wear,Myntra,2200,Shopping
Nykaa beauty products cosmetics makeup skincare online,Nykaa,1500,Shopping
Croma electronics appliances television laptop purchase,Croma,8500,Shopping
Shopping mall clothes footwear accessories brands,Phoenix Mall,4200,Shopping
Ajio fashion clothing designer brands ethnic fusion,Ajio,1800,Shopping
Lifestyle store clothing trendy fashion casual formal,Lifestyle,3200,Shopping
Max Fashion affordable trendy clothes budget friendly,Max Fashion,1600,Shopping
Westside clothing casual formal ethnic fusion wear,Westside,2800,Shopping
Meesho online budget shopping affordable clothes home,Meesho,850,Shopping
Decathlon sports equipment fitness gear athletic shoes,Decathlon,2500,Shopping
Lenskart eyewear glasses spectacles frames lenses vision,Lenskart,3200,Shopping
Shoppers Stop premium brands clothing fashion luxury,Shoppers Stop,3800,Shopping
Local market clothes traditional ethnic saree kurta,Local Market,1200,Shopping
Zara international fashion trendy western premium,Zara,5500,Shopping
H&M fashion clothing western trendy affordable,H&M,3200,Shopping
Pantaloons clothing family fashion all age groups,Pantaloons,2400,Shopping
Reliance Digital electronics mobiles laptops appliances,Reliance Digital,12000,Shopping
Vijay Sales electronics home appliances gadgets purchase,Vijay Sales,6800,Shopping
Netflix subscription monthly streaming movies web series,Netflix,649,Entertainment
Amazon Prime Video subscription streaming content,Amazon Prime,299,Entertainment
BookMyShow movie tickets cinema hall PVR booking,BookMyShow,600,Entertainment
Spotify Premium music streaming playlist subscription,Spotify,119,Entertainment
PVR cinema movie tickets popcorn combo entertainment,PVR Cinemas,750,Entertainment
PlayStation Plus subscription online gaming multiplayer,PlayStation,699,Entertainment
Disney+ Hotstar subscription streaming sports cricket IPL,Disney+ Hotstar,499,Entertainment
YouTube Premium subscription ad-free videos music,YouTube Premium,129,Entertainment
Concert tickets music show live performance artist,BookMyShow,2500,Entertainment
INOX cinema movie multiplex screening latest film,INOX,680,Entertainment
Steam gaming purchase digital download PC games,Steam,1200,Entertainment
Wonderla theme park tickets rides adventure family,Wonderla,1500,Entertainment
Audible audiobooks subscription monthly listening books,Audible,199,Entertainment
Gaming console purchase PlayStation Xbox Nintendo,Amazon,35000,Entertainment
Apple Music subscription streaming songs playlist,Apple Music,99,Entertainment
SonyLIV subscription streaming shows sports movies,SonyLIV,299,Entertainment
Zee5 premium subscription streaming regional content,Zee5,499,Entertainment
Voot subscription colors shows bigg boss reality,Voot,299,Entertainment
BookMyShow play theatre tickets drama comedy show,BookMyShow,850,Entertainment
Comedy show standup tickets live performance,Insider,1200,Entertainment
Gym membership monthly fitness workout training center,Fitness First,3000,Health & Fitness
Doctor consultation medical checkup health diagnosis,Clinic,800,Health & Fitness
Apollo Pharmacy medicines prescription drugs medical,Apollo Pharmacy,950,Health & Fitness
1mg online pharmacy medicine order drugs delivery,1mg,650,Health & Fitness
Yoga classes fitness wellness meditation exercise,Yoga Studio,2500,Health & Fitness
Cult.fit gym membership workout fitness group classes,CultFit,2800,Health & Fitness
Hospital medical treatment surgery healthcare admission,Max Hospital,5500,Health & Fitness
Diagnostic lab blood test reports pathology investigation,PathLabs,1200,Health & Fitness
Dental checkup teeth cleaning oral health hygiene,Dentist Clinic,1500,Health & Fitness
Health checkup full body medical screening package,Thyrocare,2500,Health & Fitness
PharmEasy online medicine order prescription drugs,PharmEasy,780,Health & Fitness
Gold's Gym membership annual fitness training workout,Gold's Gym,15000,Health & Fitness
Physiotherapy treatment sessions back pain therapy,Physio Clinic,2000,Health & Fitness
Nutritionist consultation diet plan weight management,Nutrition Clinic,1500,Health & Fitness
Mental health therapy counselling psychologist session,Therapy Center,2000,Health & Fitness
Eye checkup vision test optometry glasses prescription,Eye Clinic,600,Health & Fitness
Dermatologist consultation skin treatment acne therapy,Skin Clinic,1200,Health & Fitness
Veterinary clinic pet dog cat health checkup,Pet Clinic,1500,Health & Fitness
Medical insurance premium health policy family floater,Insurance,8500,Health & Fitness
Fitness equipment dumbbells yoga mat home workout,Decathlon,3500,Health & Fitness
Udemy online course programming web development learning,Udemy,499,Education
Coursera subscription professional certificate specialization,Coursera,3999,Education
Crossword bookstore academic textbooks study books,Crossword,1200,Education
Coaching center tuition fees entrance exam preparation,Coaching Institute,8000,Education
Amazon Kindle ebooks digital books reading subscription,Kindle Store,350,Education
Unacademy subscription competitive exams UPSC learning,Unacademy,2500,Education
School fees annual academic tuition education payment,School,45000,Education
Stationery shop notebooks pens pencils study material,Stationery Store,650,Education
College fees semester tuition education university,College,35000,Education
Online certification course professional development skill,edX,2500,Education
Language learning app subscription duolingo premium,Duolingo,499,Education
Music classes guitar piano vocal lessons learning,Music Academy,3000,Education
Art supplies painting drawing sketching materials craft,Art Store,1800,Education
Library membership annual books reading subscription,Library,500,Education
Coaching institute test series mock exams practice,Test Series,1500,Education
Educational toys kids learning development games,FirstCry,2200,Education
Professional course MBA CA preparation study material,Institute,12000,Education
Workshop seminar conference registration learning event,Conference,3500,Education
Subscription boxes learning science experiments kids,Flintobox,999,Education
Research papers journal subscription academic articles,JSTOR,1200,Education
Flight tickets domestic travel Mumbai Delhi booking,IndiGo,5500,Travel
Hotel booking accommodation stay vacation resort,OYO,3200,Travel
Bus tickets intercity travel sleeper booking online,RedBus,850,Travel
Travel insurance trip coverage international domestic,Insurance,1200,Travel
Foreign exchange currency conversion USD EUR travel,Forex,15000,Travel
Airbnb vacation rental homestay booking accommodation,Airbnb,4500,Travel
MakeMyTrip holiday package tour travel booking,MakeMyTrip,25000,Travel
Visa application fees passport travel documentation,VFS Global,8500,Travel
Travel backpack luggage suitcase bag purchase,Amazon,3200,Travel
Go Ibibo hotel flight booking travel package deal,GoIbibo,12000,Travel
Salon haircut hair styling grooming men women,Salon,450,Personal Care
Spa massage therapy relaxation wellness treatment,Spa,2500,Personal Care
Beauty parlor facial waxing grooming services,Parlor,1200,Personal Care
Urban Company home salon beauty services grooming,Urban Company,850,Personal Care
Perfume cologne fragrance deodorant purchase cosmetic,Shoppers Stop,1800,Personal Care
Laundry dry cleaning clothes ironing wash services,Laundry,450,Personal Care
Grooming products shampoo conditioner body wash care,Nykaa,680,Personal Care
Tattoo studio body art permanent tattoo design,Tattoo Studio,5000,Personal Care
Nail salon manicure pedicure nail art polish,Nail Salon,800,Personal Care
Barber shop shave beard trim men's grooming,Barber,200,Personal Care
Mutual fund SIP investment monthly systematic plan,Mutual Fund,5000,Investments
Stock market equity shares trading purchase investment,Zerodha,15000,Investments
Fixed deposit FD investment bank savings scheme,Bank FD,50000,Investments
Gold purchase jewelry investment digital gold saving,Digital Gold,10000,Investments
PPF contribution public provident fund retirement saving,PPF Account,25000,Investments
National Pension System NPS retirement investment,NPS,3000,Investments
Life insurance premium investment policy payment,LIC,12000,Investments
Real estate property investment down payment purchase,Real Estate,500000,Investments
Cryptocurrency bitcoin ethereum investment trading purchase,WazirX,20000,Investments
Bonds government securities investment fixed income,Government Bonds,100000,Investments
Gift purchase birthday anniversary celebration present,Amazon,2500,Other
Charity donation NGO contribution social cause help,NGO,1000,Other
Pet supplies dog cat food toys accessories care,Petshop,1500,Other
Home repair plumber electrician maintenance work service,Maintenance,2000,Other
Furniture purchase table chair bed home decor,IKEA,15000,Other
Plant nursery gardening plants pots seeds home garden,Nursery,800,Other
Electronics repair mobile laptop service center fix,Repair Center,1200,Other
Moving charges packers movers relocation home shifting,Packers Movers,8500,Other
Legal fees lawyer consultation documentation services,Legal Services,5000,Other
ATM withdrawal cash money bank transaction,ATM,3000,Other
